TERM,GENE
YAP,LOC641050
YAP,Gm10345
YAP,Parp12
YAP,Reps2
YAP,Ick
YAP,Gm13375
YAP,Tmem128
YAP,Ptk6
YAP,Krtap2-4
YAP,St6galnac4
YAP,Duox2
YAP,C1qb
YAP,Sh2d1b1
YAP,Rassf8
YAP,Plac9
YAP,Aplp1
YAP,Ehd2
YAP,Ston1
YAP,Endod1
YAP,Lmo7
YAP,LOC641050
YAP,Wtip
YAP,Raph1
YAP,Thbs1
YAP,Agrn
YAP,Naip5
YAP,Ptrh1
YAP,Plek
YAP,Herc3
YAP,Fasl
YAP,Fas
YAP,Duoxa2
YAP,Ano1
YAP,Tcrg-V3
YAP,Slc5a8
YAP,Cryab
YAP,Entpd1
YAP,Fcer1g
YAP,Jag2
YAP,Plec
YAP,Gp49a
YAP,Cd55
YAP,Cxcr6
YAP,Tcrb-J
YAP,Pdlim2
YAP,Cd226
YAP,Mboat1
YAP,9130008F23Rik
YAP,Klf4
YAP,Agtpbp1
YAP,AA467197
YAP,Smpdl3a
YAP,Ssh1
YAP,Skil
YAP,Cytip
YAP,Capn13
YAP,Tmem149
YAP,Rab8b
YAP,Gcnt1
YAP,Crym
YAP,Eif4e3
YAP,Slc5a6
YAP,Abcc5
YAP,Rab31
YAP,Cd8b1
YAP,Rras
YAP,Rnf19b
YAP,Slco2a1
YAP,Tyrobp
YAP,Chac1
YAP,2310014H01Rik
YAP,Emb
YAP,Flnb
YAP,Pla1a
YAP,2010003K11Rik
YAP,Chst4
YAP,Gzmk
YAP,Slc22a23
YAP,Fmnl1
YAP,Socs3
YAP,Cd101
YAP,AW112010
YAP,Car2
YAP,Epb4.1l4a
YAP,P4ha1
YAP,Ppp1r16b
YAP,Rhod
YAP,Prkce
YAP,Arhgap15
YAP,Slc25a4
YAP,Tigit
YAP,Dennd4a
YAP,Bcl2l1
YAP,Ddah1
YAP,AA986860
YAP,Chn2
YAP,Ms4a6b
YAP,Large
YAP,Clnk
YAP,Myo15b
YAP,Clic4
YAP,Emp2
YAP,Id2
YAP,Gpr171
YAP,Ly6f
YAP,Inpp5d
YAP,Rapgef2
YAP,Myh14
YAP,Txk
YAP,Itga4
YAP,Csrnp1
YAP,Dennd4a
YAP,Susd2
YAP,Rabl5
YAP,Unc13d
YAP,Rbms1
YAP,Cgn
YAP,Trp53inp1
YAP,Gimap6
YAP,Crim1
YAP,Ifi203
YAP,Depdc7
YAP,Itgb6
YAP,Il2rb
YAP,Ildr1
YAP,Tmsb10
YAP,Pcx
YAP,F2r
YAP,Tjap1
YAP,Nbl1
YAP,Xk
YAP,1700016K19Rik
YAP,Gbp9
YAP,Ppl
YAP,Akap13
YAP,Lag3
YAP,Skap1
YAP,Bmp2
YAP,Nxf7
YAP,Klf6
YAP,Bicd1
YAP,Anxa6
YAP,Fos
YAP,Tuft1
YAP,Igsf9
YAP,Arhgap25
YAP,Dusp1
YAP,Ostb
YAP,Dennd4a
YAP,Ahnak
YAP,Pgap1
YAP,Slamf7
YAP,Lcp1
YAP,Mospd2
YAP,Cnksr1
YAP,Cnn2
YAP,Mxd1
YAP,Capn5
YAP,Trpm6
YAP,Nipal1
YAP,Ppp2r3c
YAP,Lamb3
YAP,Capn2
YAP,Syde1
YAP,Gm5068
YAP,Coro1a
YAP,Il2rg
YAP,Pcyt1a
YAP,Grap2
YAP,Jdp2
YAP,Rassf2
YAP,Oxct1
YAP,Atf3
YAP,Flrt3
YAP,Sprr1a
YAP,Tgfb3
YAP,Ctsw
YAP,Lat2
YAP,Crip2
YAP,Wwtr1
YAP,Ccn2
YAP,Gramd2
YAP,Slc44a2
YAP,Apbb1ip
YAP,AI504432
YAP,Itgav
YAP,Stom
YAP,Evi2a
YAP,Apol7b
YAP,Dusp6
YAP,BC025446
YAP,Sla2
YAP,Cd48
YAP,Sgk2
YAP,Chka
YAP,Neu1
YAP,Glipr1
YAP,Syt12
YAP,Sertad1
YAP,Cd160
YAP,Gsn
YAP,Acot10
YAP,Dok2
YAP,Pip4k2a
YAP,Eif2s2
YAP,Fkbp9
YAP,Hmha1
YAP,Slc31a2
YAP,Clic1
YAP,Cish
YAP,Rbpms
YAP,2310007B03Rik
YAP,Gimap7
YAP,Ggta1
YAP,Rhof
YAP,Maff
YAP,Cyth4
YAP,Prkx
YAP,Myo1g
YAP,B4galt1
YAP,Amotl2
YAP,Rac2
YAP,Lat
YAP,Myo1e
YAP,Msn
YAP,Cd3d
YAP,Gimap4
YAP,Prkcq
YAP,Rarb
YAP,Pik3cd
YAP,Gzma
YAP,Epha4
YAP,Eif2s2
YAP,Gramd1a
YAP,Socs1
YAP,Sh3tc1
YAP,Dock2
YAP,Sprr2a1
YAP,Smad7
YAP,Srgn
YAP,Hic1
YAP,Sla
YAP,Pam
YAP,Chrnb1
YAP,Il33
YAP,Fam129a
YAP,Traf5
YAP,LOC100504914
YAP,Baiap2
YAP,Itgad
YAP,Sorbs2
YAP,Slfn2
YAP,Rhoh
YAP,Ptprj
YAP,Dok4
YAP,Cd244
YAP,Il21r
YAP,Tcrg-C
YAP,Sh3bp5
YAP,Tbc1d2
YAP,Tcrg-V2
YAP,Map4k1
YAP,Ptprj
YAP,Ncf1
YAP,Wls
YAP,Ptpn21
YAP,Hcls1
YAP,Slamf9
YAP,Hvcn1
YAP,Myo1f
YAP,Laptm5
YAP,Cd27
YAP,Stat4
YAP,Parvg
YAP,Abi3
YAP,Rgs1
YAP,Dtx1
YAP,Gpr68
YAP,Crlf3
YAP,Abcc3
YAP,Vangl1
YAP,Naip1
YAP,H6pd
YAP,2610018G03Rik
YAP,Vnn1
YAP,Sh2d2a
YAP,Dusp3
YAP,Gpr114
YAP,Tnfrsf12a
YAP,P2rx7
YAP,Arhgdib
YAP,S100a11
YAP,Runx3
YAP,Itgb2
YAP,Nkg7
YAP,Lats2
YAP,Pld2
YAP,Ccr9
YAP,Ets1
YAP,Pard6b
YAP,Art2b
YAP,Ptprcap
YAP,Cxcl16
YAP,Camk1
YAP,Il27ra
YAP,Npas2
YAP,Bin2
YAP,Slc2a3
