TERM,GENE
YAP,Mesdc1
YAP,Chst11
YAP,Gm347
YAP,Clip1
YAP,Lonrf3
YAP,Dbndd2
YAP,Rhbdd1
YAP,Impact
YAP,Hpcal1
YAP,Mtap1s
YAP,4930500M09Rik
YAP,Dbndd2
YAP,Fgfr3
YAP,Abi3
YAP,Ptprj
YAP,Slc39a13
YAP,Limk1
YAP,Snap47
YAP,Prr13
YAP,Fam116b
YAP,Rabgef1
YAP,Cltb
YAP,Gm11175
YAP,H6pd
YAP,Zfp189
YAP,Rnh1
YAP,Fam82a1
YAP,Spr-ps1
YAP,Fhit
YAP,Tes
YAP,Prkce
YAP,Jund
YAP,B230312A22Rik
YAP,2700007P21Rik
YAP,Pak2
YAP,Baz1a
YAP,Rasgrf2
YAP,B4galt1
YAP,Tspyl2
YAP,Bcar1
YAP,Fam188a
YAP,Rpl15-ps2
YAP,Cd97
YAP,Akp3
YAP,Ppfibp2
YAP,Tanc1
YAP,Fbxw4
YAP,Midn
YAP,Tpm3
YAP,Rac3
YAP,2900060B14Rik
YAP,Mamld1
YAP,Gars
YAP,Gm6793
YAP,Ercc1
YAP,Pld2
YAP,Mmp14
YAP,Kctd3
YAP,Dusp4
YAP,Zbtb37
YAP,Csgalnact2
YAP,Fkbp9
YAP,Spsb2
YAP,Wsb2
YAP,Insl3
YAP,Hivep2
YAP,Gm10399
YAP,1700016C15Rik
YAP,Vezt
YAP,Pias3
YAP,Ttll7
YAP,Arl6ip5
YAP,Nab1
YAP,Cyb5d2
YAP,Myh9
YAP,Sfn
YAP,BC006779
YAP,Asah1
YAP,Cbfa2t3
YAP,Inadl
YAP,Slc26a11
YAP,Hk2
YAP,0610010F05Rik
YAP,Pold4
YAP,Obfc1
YAP,Ncoa3
YAP,Supt3h
YAP,Ripk3
YAP,Gys1
YAP,Phldb3
YAP,Actg1
YAP,Ddah2
YAP,Hist1h4c
YAP,Gm17527
YAP,Tchh
YAP,Epb4.1l5
YAP,Asns
YAP,Trim40
YAP,C130074G19Rik
YAP,Traf4
YAP,Dok7
YAP,Sytl5
YAP,Plekhf2
YAP,Mtmr10
YAP,Errfi1
YAP,Sat1
YAP,Slc7a5
YAP,Lrrc58
YAP,Fbxo6
YAP,Tpm1
YAP,Mbp
YAP,H2-T23
YAP,Mycn
YAP,Gm10462
YAP,Actn1
YAP,Ptpn9
YAP,Atp2b1
YAP,Rsad1
YAP,Mtap
YAP,Zscan20
YAP,Fzd6
YAP,11-Sep
YAP,Mthfr
YAP,Rhpn2
YAP,Ap1s2
YAP,Dgka
YAP,Abhd12
YAP,Stx1a
YAP,Sgcb
YAP,Dock11
YAP,Gm12666
YAP,Capn12
YAP,Mvp
YAP,Esyt1
YAP,Vopp1
YAP,Ryk
YAP,Med13
YAP,Serpinb1a
YAP,Dennd5a
YAP,C530008M17Rik
YAP,Snta1
YAP,Hist1h4k
YAP,Fzd7
YAP,Sdc2
YAP,Ccng2
YAP,Prkcd
YAP,Dnajc5
YAP,Ctbs
YAP,Mmp24
YAP,Chst4
YAP,Ascc3
YAP,Luzp1
YAP,Ctnna1
YAP,Arhgef5
YAP,Gm17636
YAP,Pycr1
YAP,BC029214
YAP,Csf2ra
YAP,Rps4y2
YAP,Ablim1
YAP,Parva
YAP,3110062M04Rik
YAP,Vdac2
YAP,Arl8a
YAP,Slfn2
YAP,9130017N09Rik
YAP,Pfkfb3
YAP,Cyp4b1
YAP,Gnb5
YAP,Pmel
YAP,Clic1
YAP,Dcbld2
YAP,1700001C19Rik
YAP,Scnn1a
YAP,Tnfrsf23
YAP,Rg9mtd2
YAP,Ptar1
YAP,Nos2
YAP,Aim1l
YAP,Zfp385a
YAP,Rab31
YAP,Rps18
YAP,Abcc3
YAP,Gm5453
YAP,Itpripl2
YAP,Tle6
YAP,Rhov
YAP,Xk
YAP,Nfkb2
YAP,Mtap7d1
YAP,Akap13
YAP,Plxna1
YAP,Pea15a
YAP,Tmsb4x
YAP,Plekhh3
YAP,Anxa7
YAP,Gtpbp2
YAP,Dsg2
YAP,Hspbap1
YAP,Parm1
YAP,Ifngr1
YAP,Smpdl3a
YAP,Phf19
YAP,AW555464
YAP,Gm16066
YAP,Sh3bp4
YAP,Bcor
YAP,Ptpn23
YAP,Rp2h
YAP,Lpcat4
YAP,Epdr1
YAP,Gm527
YAP,Atxn10
YAP,Mthfd2
YAP,Pkp3
YAP,Nedd4l
YAP,Ier5
YAP,Igf1r
YAP,Fosl2
YAP,Cdkn1a
YAP,Ddx58
YAP,Als2cl
YAP,Thnsl1
YAP,Ropn1l
YAP,Tacc2
YAP,Hspa5
YAP,Vma21-ps
YAP,Bicd2
YAP,Tnfaip3
YAP,Ppfibp1
YAP,4930539E08Rik
YAP,Hlcs
YAP,Chka
YAP,Ccnd1
YAP,Inf2
YAP,Pdlim7
YAP,Nt5c2
YAP,Nsf
YAP,Arhgef18
YAP,Sept8
YAP,D15Ertd621e
YAP,Lmo4
YAP,Itgav
YAP,P2ry2
YAP,Plcxd2
YAP,Mllt4
YAP,Trim16
YAP,Ptpn12
YAP,Slc23a3
YAP,Pvrl2
YAP,Fads3
YAP,Socs5
YAP,Nkx6-3
YAP,Prmt2
YAP,Unc5b
YAP,Cacnb3
YAP,Atg16l2
YAP,Cln8
YAP,Actn4
YAP,Wdr47
YAP,Large
YAP,Gm9887
YAP,Chmp2b
YAP,Mapre3
YAP,8430427H17Rik
YAP,Kdm3b
YAP,S100a10
YAP,Mafk
YAP,St3gal6
YAP,Metrnl
YAP,Impdh1
YAP,Rdh10
YAP,Ppp1r12a
