TERM,GENE
ISC,1300002K09Rik
ISC,6230424C14Rik
ISC,Adra2a
ISC,Afap1
ISC,Angpt2
ISC,Apcdd1
ISC,Arhgef4
ISC,Arl4c
ISC,Ascl2
ISC,Atg16l2
ISC,Atm
ISC,Axin2
ISC,B930095G15Rik
ISC,Cachd1
ISC,Car12
ISC,Casp12
ISC,Cbx6
ISC,Cc2d2a
ISC,Cd320
ISC,Cdc42ep1
ISC,Cdo1
ISC,Ces1d
ISC,Cgnl1
ISC,Cited4
ISC,Clca1
ISC,Clca2
ISC,Clic6
ISC,Cpn1
ISC,Cttnbp2
ISC,Cyp2e1
ISC,D930015E06Rik
ISC,Dct
ISC,Ddb2
ISC,Ddo
ISC,Dync2h1
ISC,E230029C05Rik
ISC,Ell3
ISC,Emp2
ISC,Epha4
ISC,Ephb3
ISC,Esam
ISC,Esrrg
ISC,Evl
ISC,Farp1
ISC,Fbxo21
ISC,Fgfr4
ISC,Fmnl2
ISC,Fstl1
ISC,Fzd2
ISC,Gas6
ISC,Gkap1
ISC,Gkn3
ISC,Gpld1
ISC,Gpr30
ISC,Gramd1a
ISC,Hunk
ISC,Igfbp4
ISC,Il17rd
ISC,Immp2l
ISC,Irs1
ISC,Kcne3
ISC,Klhl8
ISC,Large
ISC,Lgr5
ISC,Lipt2
ISC,Man2a2
ISC,Mex3a
ISC,Mia1
ISC,Mpp3
ISC,Msi1
ISC,Myc
ISC,Mycl1
ISC,Nap1l1
ISC,Napepld
ISC,Notch1
ISC,Notch2
ISC,Phldb2
ISC,Pla2g4a
ISC,Plekhb1
ISC,Plxnb1
ISC,Pogk
ISC,Ppap2b
ISC,Prelp
ISC,Prkd3
ISC,Psd3
ISC,Psrc1
ISC,Ptpro
ISC,Ptprs
ISC,Rad51l1
ISC,Rasa3
ISC,Rgmb
ISC,Rgs12
ISC,Rnf32
ISC,Rnf43
ISC,Scn2b
ISC,Sectm1b
ISC,Sema7a
ISC,Sestd1
ISC,Sfrp5
ISC,Shisa2
ISC,Slc19a2
ISC,Slc23a3
ISC,Slc27a2
ISC,Slco3a1
ISC,Smo
ISC,Snx10
ISC,Sorcs2
ISC,Sox4
ISC,Sox9
ISC,Sp5
ISC,Srl
ISC,Sycn
ISC,Tead2
ISC,Tex9
ISC,Tfpi
ISC,Tgif2
ISC,Tmem209
ISC,Tnfrsf19
ISC,Trim44
ISC,Ttc21b
ISC,Ttpa
ISC,Txndc16
ISC,Utrn
ISC,Vav3
ISC,Wdr35
ISC,Wdr90
ISC,Wwp1
ISC,Wwtr1
ISC,Zfp12
ISC,Zkscan17
ISC,Znrf3
ISC,Zranb3
ISC,Acsm3
ISC,Afap1l1
ISC,Agr3
ISC,Aqp4
ISC,Cd44
ISC,Cdca7
ISC,Cdk6
ISC,Clca4
ISC,Cnn3
ISC,Dach1
