"TERM","GENE"
"Bcat","Smyd5"
"Bcat","Gm20897"
"Bcat","Gm21117"
"Bcat","Gm35134"
"Bcat","Ncl"
"Bcat","E2f5"
"Bcat","Grwd1"
"Bcat","Ephb3"
"Bcat","Cyp3a13"
"Bcat","Gm21477"
"Bcat","Gm20850"
"Bcat","Lig1"
"Bcat","Tgfbr1"
"Bcat","Pa2g4"
"Bcat","Snrpd1"
"Bcat","Rad51"
"Bcat","Fbp1"
"Bcat","Ephb4"
"Bcat","Gm20906"
"Bcat","Gm20920"
"Bcat","Gm28102"
"Bcat","Zfy1"
"Bcat","Acp2"
"Bcat","Dnmt1"
"Bcat","Spag5"
"Bcat","Aqp4"
"Bcat","Nup210"
"Bcat","Car2"
"Bcat","Wdr12"
"Bcat","Styx"
"Bcat","Gnpnat1"
"Bcat","Eif4a1"
"Bcat","Msi2"
"Bcat","Eef1d"
"Bcat","Gm21865"
"Bcat","Gm21173"
"Bcat","Gm21258"
"Bcat","Gm21294"
"Bcat","Gm21650"
"Bcat","Gm21996"
"Bcat","Card11"
"Bcat","Ddx1"
"Bcat","Smoc2"
"Bcat","Gjb3"
"Bcat","Pms1"
"Bcat","Mcm7"
"Bcat","Ssb"
"Bcat","Prelp"
"Bcat","Cbll1"
"Bcat","Cct5"
"Bcat","Chek2"
"Bcat","Ap3b1"
"Bcat","Nfix"
"Bcat","Cd2ap"
"Bcat","Snrpb2"
"Bcat","Nutf2"
"Bcat","Cbx1"
"Bcat","Vrk2"
"Bcat","Gm29866"
"Bcat","Gm20929"
"Bcat","Gm29564"
"Bcat","Gm20837"
"Bcat","Gm20916"
"Bcat","Gm31571"
"Bcat","Gm29276"
"Bcat","Gm21760"
"Bcat","Crym"
"Bcat","Slc37a2"
"Bcat","Cpt1a"
"Bcat","Slbp"
"Bcat","Axin2"
"Bcat","Serpine2"
"Bcat","Dhx15"
"Bcat","Naca"
"Bcat","Tmpo"
"Bcat","Trnt1"
"Bcat","Sp3"
"Bcat","Prim1"
"Bcat","Rbmxl1"
"Bcat","Kcne3"
"Bcat","Invs"
"Bcat","Nolc1"
"Bcat","Ccne2"
"Bcat","Nmral1"
"Bcat","Dck"
"Bcat","Eif2s1"
"Bcat","Sema5a"
"Bcat","Thoc1"
"Bcat","Cdo1"
"Bcat","Fzd1"
"Bcat","Ubap1"
"Bcat","Csrp2"
"Bcat","Smyd4"
"Bcat","Trim37"
"Bcat","Nrip1"
"Bcat","Mcm3"
"Bcat","Reg2"
"Bcat","Reg1"
"Bcat","Hba-a1"
"Bcat","Hba-a2"
"Bcat","Rpa1"
"Bcat","Rock1"
"Bcat","Ifitm2"
"Bcat","Ifitm1"
"Bcat","Ifitm3"
"Bcat","Ifitm6"
"Bcat","Eed"
"Bcat","Alg6"
"Bcat","Stmn1"
"Bcat","Rfc4"
"Bcat","Zfp24"
"Bcat","Fgfbp1"
"Bcat","Myb"
"Bcat","Erh"
"Bcat","Gcdh"
"Bcat","Grsf1"
"Bcat","Lsm2"
"Bcat","Pabpc2"
"Bcat","Usp14"
"Bcat","Cenph"
"Bcat","Rad54l"
"Bcat","Cct2"
"Bcat","Tmeff1"
"Bcat","Dtymk"
"Bcat","Rad51ap1"
"Bcat","Apex1"
"Bcat","Mbnl3"
"Bcat","Fgf1"
"Bcat","Taf9"
"Bcat","Ak6"
"Bcat","Mki67"
"Bcat","Gins1"
"Bcat","Fen1"
"Bcat","Zfy2"
"Bcat","Polr1b"
"Bcat","Gm21739"
"Bcat","Gm21366"
"Bcat","Gm28897"
"Bcat","Gm20911"
"Bcat","Gm21256"
"Bcat","Gm21317"
"Bcat","Gm20792"
"Bcat","Gm28827"
"Bcat","Sycp3"
"Bcat","Gm28553"
"Bcat","Gm21095"
"Bcat","Gm20931"
"Bcat","Gm20890"
"Bcat","Gm21858"
"Bcat","Gm21209"
"Bcat","Gm28870"
"Bcat","Gm20883"
"Bcat","Gm21409"
"Bcat","Mcm4"
"Bcat","Snx5"
"Bcat","Drg1"
"Bcat","Zfp277"
"Bcat","Bcl7c"
"Bcat","Slc13a1"
"Bcat","Kif20a"
"Bcat","Set"
"Bcat","Kifc1"
"Bcat","Kifc5b"
"Bcat","Gm50241"
"Bcat","Skp2"
"Bcat","Psma6"
"Bcat","Wee1"
"Bcat","Luc7l"
"Bcat","Tiam1"
"Bcat","Matr3"
"Bcat","Snhg4"
"Bcat","Eif2a"
"Bcat","Shcbp1"
"Bcat","Scarb1"
"Bcat","Kcnn4"
"Bcat","Ywhaz"
"Bcat","Ezh2"
"Bcat","Tox"
"Bcat","Sfrp1"
"Bcat","Lsm5"
"Bcat","Papola"
"Bcat","Eif2s3x"
"Bcat","Ccnd1"
"Bcat","Shmt1"
"Bcat","Limd1"
"Bcat","Gm7324"
"Bcat","Kif5b"
"Bcat","Mcm2"
"Bcat","Rfc1"
"Bcat","Tcf19"
"Bcat","Ncoa4"
"Bcat","Usp1"
"Bcat","Rad1"
"Bcat","Sectm1b"
"Bcat","Elf2"
"Bcat","Trim27"
"Bcat","Smarca5"
"Bcat","Pole2"
"Bcat","Gm49384"
"Bcat","Sf3a3"
"Bcat","Rgs12"
"Bcat","Btf3"
"Bcat","Ect2"
"Bcat","Timeless"
"Bcat","Mthfd1"
"Bcat","Pik3r1"
"Bcat","Slc18a2"
"Bcat","Papss2"
"Bcat","Lipg"
"Bcat","Slc4a7"
"Bcat","Ddx21"
"Bcat","Sly"
"Bcat","Gm28961"
"Bcat","Gm21488"
"Bcat","Gm20820"
"Bcat","Gm21861"
"Bcat","Gm20894"
"Bcat","1700013H16Rik"
"Bcat","Xlr"
"Bcat","Gm21518"
"Bcat","Gm16405"
"Bcat","Gm16430"
"Bcat","Gm28891"
"Bcat","Slxl1"
"Bcat","3830403N18Rik"
"Bcat","Gm21627"
"Bcat","1700040F15Rik"
"Bcat","Gm773"
"Bcat","Gm10486"
"Bcat","Gm21497"
"Bcat","Gm20908"
"Bcat","Gm14819"
"Bcat","Gm20937"
"Bcat","Gm20817"
"Bcat","Gm28919"
"Bcat","Gm28998"
"Bcat","Gm20736"
"Bcat","Gm29582"
"Bcat","Gm28576"
"Bcat","Gm28490"
"Bcat","Gm20824"
"Bcat","Gm21094"
"Bcat","Cenpp"
"Bcat","Gtpbp4"
"Bcat","Trip13"
"Bcat","Mtrr"
"Bcat","Ndufaf1"
"Bcat","Rps24"
"Bcat","Pten"
"Bcat","Rnf138"
"Bcat","Uchl5"
"Bcat","Psmc3ip"
"Bcat","Cdkn3"
"Bcat","Pold2"
"Bcat","Ide"
"Bcat","Ephb2"
"Bcat","Fignl1"
"Bcat","Dctd"
"Bcat","Enpp3"
"Bcat","Rrm2"
"Bcat","Top2a"
"Bcat","Hdac2"
"Bcat","Rpgr"
"Bcat","Fras1"
"Bcat","Rasa3"
"Bcat","Mrpl1"
"Bcat","Mtf2"
"Bcat","B230219D22Rik"
"Bcat","Kif22"
"Bcat","Hspa8"
"Bcat","Cubn"
"Bcat","Cdc25c"
"Bcat","Rab1a"
"Bcat","Ergic1"
"Bcat","Tmem107"
"Bcat","Tyms"
"Bcat","Ccnd2"
"Bcat","Cetn3"
"Bcat","Asf1b"
"Bcat","Aurkb"
"Bcat","Ascl2"
"Bcat","Mcm6"
"Bcat","Nap1l1"
"Bcat","Pcdh8"
"Bcat","Bub1b"
"Bcat","Paics"
"Bcat","Akr1b3"
"Bcat","Rpl32"
"Bcat","Tfb2m"
"Bcat","Cdv3"
"Bcat","Uchl4"
"Bcat","Otc"
"Bcat","Tfam"
"Bcat","Pabpc6"
"Bcat","Aasdhppt"
"Bcat","Sectm1a"
"Bcat","Rbbp4"
"Bcat","Kif18a"
"Bcat","Sppl2a"
"Bcat","Ankrd10"
"Bcat","Impa2"
"Bcat","Creb1"
"Bcat","Ccna2"
"Bcat","Incenp"
"Bcat","Afp"
"Bcat","Gm10184"
"Bcat","Kpna2"
"Bcat","Clpx"
"Bcat","Acat3"
"Bcat","Acat2"
"Bcat","Nasp"
"Bcat","Reg4"
"Bcat","Psmb7"
"Bcat","Rb1cc1"
"Bcat","Sp1"
"Bcat","Pole"
"Bcat","Mrps22"
"Bcat","Terf1"
"Bcat","Zfp207"
"Bcat","Ppp2r3a"
"Bcat","Prpf4"
"Bcat","Ahcyl1"
"Bcat","Cd44"
"Bcat","Trim28"
"Bcat","Cdc20"
"Bcat","P2ry6"
"Bcat","Chtf18"
"Bcat","Rad21"
"Bcat","Slc19a1"
"Bcat","Tpmt"
"Bcat","Exo1"
"Bcat","Lbr"
"Bcat","Trip6"
"Bcat","Eif5"
"Bcat","Sfrp5"
"Bcat","Esrrg"
"Bcat","Ces1b"
"Bcat","Ces1c"
"Bcat","Ces1d"
"Bcat","Ces1g"
"Bcat","Ces1h"
"Bcat","Wtap"
"Bcat","Pitrm1"
"Bcat","Prc1"
"Bcat","Ivd"
"Bcat","Mcm5"
"Bcat","Pnn"
"Bcat","Ilf3"
