"ID","Name","Species","GeneID","Family","Evidence"
"T010906_2.00","Tfap2a","Mus_musculus","ENSMUSG00000021359","AP-2","D"
"T010907_2.00","Tfap2b","Mus_musculus","ENSMUSG00000025927","AP-2","D"
"T010908_2.00","Tfap2c","Mus_musculus","ENSMUSG00000028640","AP-2","D"
"T010909_2.00","Tfap2e","Mus_musculus","ENSMUSG00000042477","AP-2","D"
"T014642_2.00","Arid3a","Mus_musculus","ENSMUSG00000019564","ARID/BRIGHT","D"
"T014641_2.00","Arid3b","Mus_musculus","ENSMUSG00000004661","ARID/BRIGHT","D"
"T014644_2.00","Arid5a","Mus_musculus","ENSMUSG00000037447","ARID/BRIGHT","D"
"T014643_2.00","Arid5b","Mus_musculus","ENSMUSG00000019947","ARID/BRIGHT","D"
"T017413_2.00","Ahctf1","Mus_musculus","ENSMUSG00000026491","AT hook","D"
"T017415_2.00","Hmga2","Mus_musculus","ENSMUSG00000056758","AT hook","D"
"T017416_2.00","Phf21a","Mus_musculus","ENSMUSG00000058318","AT hook","D"
"T017412_2.00","Setbp1","Mus_musculus","ENSMUSG00000024548","AT hook","D"
"T026099_2.00","Zbed6","Mus_musculus","ENSMUSG00000102049","BED ZF","D"
"T035669_2.00","Ahr","Mus_musculus","ENSMUSG00000019256","bHLH","D"
"T035666_2.00","Arnt","Mus_musculus","ENSMUSG00000015522","bHLH","D"
"T035667_2.00","Arnt2","Mus_musculus","ENSMUSG00000015709","bHLH","D"
"T035746_2.00","Arntl","Mus_musculus","ENSMUSG00000055116","bHLH","D"
"T035672_2.00","Ascl1","Mus_musculus","ENSMUSG00000020052","bHLH","D"
"T035664_2.00","Ascl2","Mus_musculus","ENSMUSG00000009248","bHLH","D"
"T035754_2.00","Atoh1","Mus_musculus","ENSMUSG00000073043","bHLH","D"
"T035744_2.00","Bhlha15","Mus_musculus","ENSMUSG00000052271","bHLH","D"
"T035686_2.00","Bhlhe22","Mus_musculus","ENSMUSG00000025128","bHLH","D"
"T035702_2.00","Bhlhe40","Mus_musculus","ENSMUSG00000030103","bHLH","D"
"T035703_2.00","Bhlhe41","Mus_musculus","ENSMUSG00000030256","bHLH","D"
"T035699_2.00","Clock","Mus_musculus","ENSMUSG00000029238","bHLH","D"
"T035701_2.00","Figla","Mus_musculus","ENSMUSG00000030001","bHLH","D"
"T035718_2.00","Hand1","Mus_musculus","ENSMUSG00000037335","bHLH","D"
"T035682_2.00","Hes1","Mus_musculus","ENSMUSG00000022528","bHLH","D"
"T035697_2.00","Hes2","Mus_musculus","ENSMUSG00000028940","bHLH","D"
"T035739_2.00","Hes5","Mus_musculus","ENSMUSG00000048001","bHLH","D"
"T035683_2.00","Hes7","Mus_musculus","ENSMUSG00000023781","bHLH","D"
"T035670_2.00","Hey2","Mus_musculus","ENSMUSG00000019789","bHLH","D"
"T035677_2.00","Hif1a","Mus_musculus","ENSMUSG00000021109","bHLH","D"
"T035658_2.00","Hif3a","Mus_musculus","ENSMUSG00000004328","bHLH","D"
"T035708_2.00","Lyl1","Mus_musculus","ENSMUSG00000034041","bHLH","D"
"T035748_2.00","Max","Mus_musculus","ENSMUSG00000059436","bHLH","D"
"T035711_2.00","Mitf","Mus_musculus","ENSMUSG00000035158","bHLH","D"
"T035668_2.00","Mlx","Mus_musculus","ENSMUSG00000017801","bHLH","D"
"T035723_2.00","Mlxip","Mus_musculus","ENSMUSG00000038342","bHLH","D"
"T035654_2.00","Mnt","Mus_musculus","ENSMUSG00000000282","bHLH","D"
"T035687_2.00","Msc","Mus_musculus","ENSMUSG00000025930","bHLH","D"
"T035737_2.00","Msgn1","Mus_musculus","ENSMUSG00000047002","bHLH","D"
"T035685_2.00","Mxi1","Mus_musculus","ENSMUSG00000025025","bHLH","D"
"T035680_2.00","Myc","Mus_musculus","ENSMUSG00000022346","bHLH","D"
"T035716_2.00","Mycn","Mus_musculus","ENSMUSG00000037169","bHLH","D"
"T035655_2.00","Myf5","Mus_musculus","ENSMUSG00000000435","bHLH","D"
"T035713_2.00","Myf6","Mus_musculus","ENSMUSG00000035923","bHLH","D"
"T035665_2.00","Myod1","Mus_musculus","ENSMUSG00000009471","bHLH","D"
"T035689_2.00","Myog","Mus_musculus","ENSMUSG00000026459","bHLH","D"
"T035710_2.00","Neurod1","Mus_musculus","ENSMUSG00000034701","bHLH","D"
"T035722_2.00","Neurod2","Mus_musculus","ENSMUSG00000038255","bHLH","D"
"T035742_2.00","Neurog1","Mus_musculus","ENSMUSG00000048904","bHLH","D"
"T035693_2.00","Neurog2","Mus_musculus","ENSMUSG00000027967","bHLH","D"
"T035743_2.00","Nhlh1","Mus_musculus","ENSMUSG00000051251","bHLH","D"
"T035741_2.00","Nhlh2","Mus_musculus","ENSMUSG00000048540","bHLH","D"
"T035688_2.00","Npas2","Mus_musculus","ENSMUSG00000026077","bHLH","D"
"T035725_2.00","Olig2","Mus_musculus","ENSMUSG00000039830","bHLH","D"
"T035732_2.00","Olig3","Mus_musculus","ENSMUSG00000045591","bHLH","D"
"T035691_2.00","Ptf1a","Mus_musculus","ENSMUSG00000026735","bHLH","D"
"T035692_2.00","Sohlh2","Mus_musculus","ENSMUSG00000027794","bHLH","D"
"T035674_2.00","Srebf1","Mus_musculus","ENSMUSG00000020538","bHLH","D"
"T035681_2.00","Srebf2","Mus_musculus","ENSMUSG00000022463","bHLH","D"
"T035696_2.00","Tal1","Mus_musculus","ENSMUSG00000028717","bHLH","D"
"T035706_2.00","Tcf12","Mus_musculus","ENSMUSG00000032228","bHLH","D"
"T035733_2.00","Tcf21","Mus_musculus","ENSMUSG00000045680","bHLH","D"
"T035673_2.00","Tcf3","Mus_musculus","ENSMUSG00000020167","bHLH","D"
"T035745_2.00","Tcf4","Mus_musculus","ENSMUSG00000053477","bHLH","D"
"T035724_2.00","Tcfl5","Mus_musculus","ENSMUSG00000038932","bHLH","D"
"T035660_2.00","Tfap4","Mus_musculus","ENSMUSG00000005718","bHLH","D"
"T035653_2.00","Tfe3","Mus_musculus","ENSMUSG00000000134","bHLH","D"
"T035684_2.00","Tfeb","Mus_musculus","ENSMUSG00000023990","bHLH","D"
"T035700_2.00","Tfec","Mus_musculus","ENSMUSG00000029553","bHLH","D"
